"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*
Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*
Computer Software,Software Engineer,"Your Role and Responsibilities Work along with full-time engineers and build product end to end   Understand scalability, code quality mobile applications   Collaborate with cross-functional teams to define, design, and ship new features.   Unit-test code for robustness, including edge cases, usability, and general reliability.   Continuously discover, evaluate, and implement new technologies to m...",https://www.linkedin.com/jobs?viewJob=&jobId=43065956&trk=api*a130653*s139051*
E-Learning,SEO Hacker,"DeZyre is revolutionizing how students and working professionals get trained in job skills.  You will be responsible for ranking DeZyre’s website highly in organic search. You will work with various teams to decide on a SEO strategy and execute this on a rapid timeline. You will be working with a team that is intense, smart, data oriented, and passionate about building an all-new higher education...",https://www.linkedin.com/jobs?viewJob=&jobId=44926664&trk=api*a130653*s139051*
"Retail, Apparel & Fashion",Assitant Merchandiser,"ABOUT THE ROLE:   Convey Indelust's merchandising vision through strong vendor partnerships, customer understanding, and effective product selection, that appeal to our target customers. Prepare and manage the online and in-store merchandising plans to ensure key performance goals, qualitative measures, and new initiatives are consistent with the brand vision, and financial goals are achieved. Ass...",https://www.linkedin.com/jobs?viewJob=&jobId=47130347&trk=api*a130653*s139051*
Wireless,DSP Engineer,"Job Description: Developing, testing and integrating LTE PHY on Embedded / DSP platforms.  Job Requirement:  (i) Working experience in LTE Physical layer (L1).  (ii) Working experience on (a) Texas Instrument Keystone SOC 6618 / TI 6670 / TI 6631 (b) Code Composer Studio (c) SYSBIOS (RTOS).  (iii) Working experience in porting wireless standard (LTE physical layer) to SOCs/DSPs/Embedded systems (m...",https://www.linkedin.com/jobs?viewJob=&jobId=44974954&trk=api*a130653*s139051*
"Higher Education, E-Learning, Education Management",Instructional Designer,"          The Function Space team is growing and is looking for an experienced instructional designer to plan, analyse, design, develop, deploy and evaluate learning materials. As an instructional designer, you will work closely with stakeholders, subject matter experts, and learners to help capture learning needs and offer learning solutions within a highly dynamic working environment.   Responsi...",https://www.linkedin.com/jobs?viewJob=&jobId=46343455&trk=api*a130653*s139051*
Computer Software,"Microstrategy Architecture, Schema, and Development","JOB DESCRIPTION   Need Senior Level Consultant on Microstrategy to join immediately at the earliest. Lead or participate in Proof-of-Concept projects Lead Microstrategy Development Team Ability to play L2/L3 support role for Microstrategy Evaluate new Business Intelligence technologies, features, and products Technical team management experience including offshore team members Excellent personal c...",https://www.linkedin.com/jobs?viewJob=&jobId=43086627&trk=api*a130653*s139051*
"Higher Education, E-Learning, Education Management",Instructional Designer,"          The Function Space team is growing and is looking for an experienced instructional designer to plan, analyse, design, develop, deploy and evaluate learning materials. As an instructional designer, you will work closely with stakeholders, subject matter experts, and learners to help capture learning needs and offer learning solutions within a highly dynamic working environment.   Responsi...",https://www.linkedin.com/jobs?viewJob=&jobId=46343455&trk=api*a130653*s139051*
Computer Software,"Microstrategy Architecture, Schema, and Development","JOB DESCRIPTION   Need Senior Level Consultant on Microstrategy to join immediately at the earliest. Lead or participate in Proof-of-Concept projects Lead Microstrategy Development Team Ability to play L2/L3 support role for Microstrategy Evaluate new Business Intelligence technologies, features, and products Technical team management experience including offshore team members Excellent personal c...",https://www.linkedin.com/jobs?viewJob=&jobId=43086627&trk=api*a130653*s139051*
Food & Beverages,Software Engineer – Front End,"Responsibilities: Producing and maintaining the web/mobile application's user interfaces Work closely with designers and turn the static assets to browser based web pages or mobile applications Work with backend engineers to develop complex, interactive applications. Participating, contributing in the UI/UX discussions and providing valuable feedback to create storyboards for the various old and n...",https://www.linkedin.com/jobs?viewJob=&jobId=58663632&trk=api*a130653*s139051*
"Staffing and Recruiting, Information Technology and Services, Computer Software",Online Marketing Specialist,Responsibilities and Perks Understand the clients that Madgigs plans to attract and propose the required brand message to communicate on the advertisements and the front page. Composes online / offline marketing campaigns to build a database of potentials leads for consumption by the sales team. Researches methods to organically attract leads through SEO. Works with copywriters and bloggers to see...,https://www.linkedin.com/jobs?viewJob=&jobId=47169274&trk=api*a130653*s139051*
"Marketing and Advertising, Computer Software",Python Developers with MySql Experience (2+ yrs),Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,https://www.linkedin.com/jobs?viewJob=&jobId=60053356&trk=api*a130653*s139051*
"Staffing and Recruiting, Information Technology and Services, Computer Software",Online Marketing Specialist,Responsibilities and Perks Understand the clients that Madgigs plans to attract and propose the required brand message to communicate on the advertisements and the front page. Composes online / offline marketing campaigns to build a database of potentials leads for consumption by the sales team. Researches methods to organically attract leads through SEO. Works with copywriters and bloggers to see...,https://www.linkedin.com/jobs?viewJob=&jobId=47169274&trk=api*a130653*s139051*
"Marketing and Advertising, Computer Software",Python Developers with MySql Experience (2+ yrs),Looking for a Senior Software Engineer with 3+ years of experience in Python and Linux to build large scale web and mobile products.  Technical Skills that you ABSOLUTELY MUST have:  - Python  - Experience working on ANY web framework  - Stored Procedures and Complex Queries on MySQL or PostgreSQL  - Webservers (nginx/uwsgi or Apache)  - Optimizing for high traffic/high availability platforms...,https://www.linkedin.com/jobs?viewJob=&jobId=60053356&trk=api*a130653*s139051*
"Internet, Financial Services",Mobile UX Interaction designer,"Our product Binge is a solution at the cutting edge of technology in the mobile payments space. The mobile payments industry is in the process of bringing about a change user behaviour and a great user experience is essential for making the road for change easier for the user to navigate. We’re looking for a UX Designer to join our team in Bangalore, someone who is adept at telling stories through...",https://www.linkedin.com/jobs?viewJob=&jobId=44930086&trk=api*a130653*s139051*
Information Technology and Services,Research Pathologist,"POSITION DESCRIPTION: The Research Pathologist will participate in the research and development of state of the art detection, diagnosis, prognosis, and prediction algorithms in the medical imaging domain − with emphasis toward digitized histology.  More specifically, the Research Pathologist will work with scientists and other computer vision experts to understand pathology images, create annotat...",https://www.linkedin.com/jobs?viewJob=&jobId=44995559&trk=api*a130653*s139051*
"Online Media, Newspapers",Product Manager Intern,This Job is based out of Bangalore.   Plash is looking for an intern who is passionate about News and Content Discovery in the Mobile world to join Product team for the summer / 3 months (with possibility of extending a full time offer) based on performance . The successful candidate must have strong experience working on technology products and ideally will have prior experience creating launch p...,https://www.linkedin.com/jobs?viewJob=&jobId=47153271&trk=api*a130653*s139051*
